date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Aug%202020%2004:41:41%20GMT	http://madebyfortune.com/revert/theme/css/fonts/glyphicons-halflings-regular.svg	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/css/fonts/glyphicons-halflings-regular.svg	(from http://madebyfortune.com/revert/theme/css/vendor/bootstrap.min.css)
11:41:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Aug%202020%2004:41:42%20GMT	http://madebyfortune.com/revert/theme/css/vendor/mCSB_buttons.png	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/css/vendor/mCSB_buttons.png	(from http://madebyfortune.com/revert/theme/css/vendor/jquery.mCustomScrollbar.min.css)
11:41:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Aug%202020%2004:41:42%20GMT	http://madebyfortune.com/revert/theme/css/vendor/overlays/02.png	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/css/vendor/overlays/02.png	(from http://madebyfortune.com/revert/theme/css/vendor/vegas.min.css)
11:41:48	588275/588275	---M--	200	added ('OK')	image/jpeg	etag:%228f9f3-53dc30f060cb5%22	http://madebyfortune.com/revert/theme/img/single-bg.jpg	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/img/single-bg.jpg	(from http://madebyfortune.com/revert/theme/index-slideshow.html)
11:41:50	127558/127558	---M--	200	added ('OK')	application/javascript	etag:%221f246-53d95763a6f88%22	http://madebyfortune.com/revert/theme/js/vendor/plugins.js	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/js/vendor/plugins.js	(from http://madebyfortune.com/revert/theme/index-slideshow.html)
11:42:04	129628/129628	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221fa5c-53d957517ab00%22	http://madebyfortune.com/revert/theme/fonts/pe-icon-7-combo.eot?10abtg	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/fonts/pe-icon-7-comboca33.eot	(from http://madebyfortune.com/revert/theme/css/main.css)
11:42:09	485379/485379	---M--	200	added ('OK')	image/svg+xml	etag:%2276803-53d95751b259d%22	http://madebyfortune.com/revert/theme/fonts/pe-icon-7-combo.svg?10abtg	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/fonts/pe-icon-7-comboca33.svg	(from http://madebyfortune.com/revert/theme/css/main.css)
11:42:11	129432/129432	---M--	200	added ('OK')	application/font-sfnt	etag:%221f998-53d95751fb979%22	http://madebyfortune.com/revert/theme/fonts/pe-icon-7-combo.ttf?10abtg	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/fonts/pe-icon-7-comboca33.ttf	(from http://madebyfortune.com/revert/theme/css/main.css)
11:42:13	129508/129508	---M--	200	added ('OK')	application/font-woff	etag:%221f9e4-53d9575244d55%22	http://madebyfortune.com/revert/theme/fonts/pe-icon-7-combo.woff?10abtg	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/fonts/pe-icon-7-comboca33.woff	(from http://madebyfortune.com/revert/theme/css/main.css)
11:42:18	480798/480798	---M--	200	added ('OK')	audio/mpeg	etag:%227561e-53d9574c8c023%22	http://madebyfortune.com/revert/theme/audio/audio.mp3	E:/Theme/Resume%20Theme/madebyfortune.com/revert/theme/audio/audio.mp3	(from http://madebyfortune.com/revert/theme/index-slideshow.html)
